#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Release Date, s_region, jpegURL, Product Group ID, Object ID
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, float, string, string, string, string
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,t_obs_release,s_region,jpegURL,obsid,objID
spectrum,FUSE,FUV,,,UV,3C249.1,QUASAR,d1170102000,166.057,76.982833,D117,Benjamin,2,53063.98612269,53065.17287155,44075,90,119,NaN,CIRCLE ICRS 166.057 76.982833 0.00277777777778,http://archive.stsci.edu/browse/previews/fuse/d1170102/d117010200000specttagf.gif,3001001374,3001004641
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,f0050101000,174.987667,65.797058,F005,Savage,2,53833.82983796,53835.6762679,83625,90,119,NaN,CIRCLE ICRS 174.987667 65.79705800000001 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f0050101/f005010100000specttagf.gif,3001002023,3001000956
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,f0050102000,174.987667,65.797058,F005,Savage,2,53836.74146991,53836.85089157,2755,90,119,NaN,CIRCLE ICRS 174.987667 65.79705800000001 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f0050102/f005010200000specttagf.gif,3001002024,3001000957
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,g0440201000,174.9875,65.797056,G044,Shull,2,53831.07591435,53831.54122721,17664,90,119,NaN,CIRCLE ICRS 174.9875 65.797056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/g0440201/g044020100000specttagf.gif,3001002261,3001001093
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,g0440202000,174.9875,65.797056,G044,Shull,2,53832.20961806,53832.53663601,14839,90,119,NaN,CIRCLE ICRS 174.9875 65.797056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/g0440202/g044020200000specttagf.gif,3001002262,3001001094
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,g0440203000,174.9875,65.797056,G044,Shull,2,53833.40091435,53833.72834111,15399,90,119,NaN,CIRCLE ICRS 174.9875 65.797056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/g0440203/g044020300000specttagf.gif,3001002263,3001001095
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,f0050103000,174.987667,65.797058,F005,Savage,2,54126.18612269,54126.7744137,16805,90,119,NaN,CIRCLE ICRS 174.987667 65.79705800000001 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f0050103/f005010300000specttagf.gif,3001002025,3001004319
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,f0050104000,174.987667,65.797058,F005,Savage,2,54126.9890162,54127.91520725,39638,90,119,NaN,CIRCLE ICRS 174.987667 65.79705800000001 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f0050104/f005010400000specttagf.gif,3001002026,3001004320
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,f0050105000,174.987667,65.797058,F005,Savage,2,54127.95096065,54128.43534333,21602,90,119,NaN,CIRCLE ICRS 174.987667 65.79705800000001 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/f0050105/f005010500000specttagf.gif,3001002027,3001004321
spectrum,FUSE,FUV,,,UV,3C263,SEYFERT GALAXY,e8480701000,174.9875,65.797056,E848,Sembach,2,53126.5933912,53126.68251284,7433,90,119,NaN,CIRCLE ICRS 174.9875 65.797056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/e8480701/e848070100000specttagf.gif,3001001925,3001004497
spectrum,FUSE,FUV,,,UV,3C263,QUASAR,d8081701000,174.987667,65.797056,D808,Sembach,2,53127.03321759,53127.07296984,3408,90,119,NaN,CIRCLE ICRS 174.987667 65.797056 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/d8081701/d808170100000specttagf.gif,3001001522,3001004706
spectrum,FUSE,FUV,,,UV,3C273,QUASAR,p1013501000,187.277958333,2.0524722222,P101,Sembach,2,51657.78582176,51659.46909957,41588,90,119,NaN,CIRCLE ICRS 187.277958333 2.0524722222 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p1013501/p101350100000specttagf.gif,3001003039,3001001428
spectrum,FUSE,FUV,,,UV,3C334,QUASAR,p2100201000,245.09125,17.606667,P210,Kriss,2,52116.80467593,52117.57829472,15357,90,119,NaN,CIRCLE ICRS 245.09125 17.606667 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/p2100201/p210020100000specttagf.gif,3001003826,3001004256
spectrum,FUSE,FUV,,,UV,3C351.0,QUASAR,q1060101000,256.172916667,60.7411111111,Q106,Lebrun,2,51468.4169213,51469.03091028,37895,90,119,NaN,CIRCLE ICRS 256.172916667 60.7411111111 0.00416666666667,http://archive.stsci.edu/browse/previews/fuse/q1060101/q106010100000specttagf.gif,3001003975,3001002042
